id_tracking_company,id_talent_req,id_company,nama_perusahaan,posisi,jenis_penempatan,bidang_studi_dicari,progress,request_date,send_date,jumlah_permintaan,jumlah_dikirimkan,list_nim,status_pengiriman
TC001,TR001,C171,PT Prima Data,Project Coordinator Intern,Magang,"Teknik Industri, Manajemen",Shortlisted,2023-05-14,2023-05-23,3,5,"202018732,202312115,20231598,202117594,202224191",Sudah Dikirim
TC002,TR002,C638,PT Sentosa Teknologi,Quality Control Staff,Magang,"Teknik Mesin, Farmasi",Closed,2023-05-07,2023-05-26,5,6,"20212739,202212917,202215216,20218748,202322870,202320109",Sudah Dikirim
TC003,TR003,C900,CV Sejahtera Systems,Data Analyst,Part-time,"Manajemen, Statistika",Closed,2023-03-05,2023-03-17,2,3,"202320283,202212715,20239389",Sudah Dikirim
TC004,TR004,C696,PT Global Nusantara,Mechanical Engineer Intern,Part-time,Teknik Mesin,Shortlisted,2023-04-26,2023-05-09,2,5,"20219529,202213013,202311443,202212086,202315402",Sudah Dikirim
TC005,TR005,C506,PT Techno Bersama,Supply Chain Analyst,Magang,"Teknik Industri, Manajemen",On Review,2023-06-03,2023-06-13,1,3,"202111330,20230612,202211633",Sudah Dikirim
TC006,TR006,C893,PT Bangkit Global,IT Support,Magang,"Sistem Informasi, Informatika",Submitted,2023-06-21,2023-07-05,1,1,202219230,Sudah Dikirim
TC007,TR007,C077,PT Andalas Informatika,Financial Analyst,Magang,"Ekonomi Pembangunan, Manajemen",On Review,2023-07-17,2023-07-26,3,4,"202222850,202022016,20218434,20235562",Sudah Dikirim
TC008,TR008,C873,PT Inti Sentosa,Data Analyst,Part-time,"Manajemen, Informatika",Draft,2023-03-28,,4,0,,Belum Dikirim
TC009,TR009,C1130,PT Perkasa Utama,Drafter,Part-time,"Teknik Sipil, Teknik Mesin",Shortlisted,2023-05-21,2023-06-08,1,1,202312520,Sudah Dikirim
TC010,TR010,C1490,CV Bina Bersama,Marketing Intern,Magang,"Manajemen, Ilmu Komunikasi",Closed,2023-05-23,2023-06-11,3,4,"202118645,20228196,202121547,201921579",Sudah Dikirim
TC011,TR011,C004,PT Digital Bangsa,Consultant Intern,Part-time,"Sistem Informasi, Ekonomi Pembangunan",On Review,2023-07-20,2023-08-10,2,3,"202221980,202023380,202019983",Sudah Dikirim
TC012,TR012,C453,CV Sentosa Makmur,Digital Marketing Intern,Magang,"Ilmu Komunikasi, Manajemen",Shortlisted,2023-02-25,2023-03-06,4,5,"20230225,20209292,20222239,202019093,20202385",Sudah Dikirim
TC013,TR013,C1489,CV Karya Media,Content Writer,Magang,"Ilmu Komunikasi, Sastra Inggris",On Review,2023-07-22,2023-08-10,1,1,201911390,Sudah Dikirim
TC014,TR014,C1234,PT Graha Perkasa,Pharmacist Intern,Full-time,Farmasi,On Review,2023-04-13,2023-04-23,2,2,"202314360,20239859",Sudah Dikirim
TC015,TR015,C210,PT Bumi Informatika,Research Assistant,Magang,"Statistika, Agroteknologi",On Review,2023-05-25,2023-05-31,3,3,"20215086,202224316,202212641",Sudah Dikirim
TC016,TR016,C646,CV Mandiri Pratama,Marketing Intern,Full-time,"Manajemen, Ilmu Komunikasi",Closed,2023-07-06,2023-07-18,1,3,"202121374,20230292,202321281",Sudah Dikirim
TC017,TR017,C575,PT Solusi Karya,Data Analyst,Part-time,"Statistika, Manajemen",Closed,2023-04-24,2023-05-05,4,6,"202322678,202213454,20235599,20221292,20225904,20193924",Sudah Dikirim
TC018,TR018,C129,PT Esa Abadi,Business Analyst,Magang,"Statistika, Manajemen",Draft,2023-02-15,,2,0,,Belum Dikirim
TC019,TR019,C1135,CV Karya Gemilang,Business Process Analyst,Magang,"Manajemen, Sistem Informasi",On Review,2023-05-05,2023-05-14,2,3,"202323088,201924666,202224883",Sudah Dikirim
